Symbol,Description,Records,Start_Date,End_Date,Years_of_Data,Latest_Price,Total_Return_%,Avg_Daily_Volume,Status
KOTAKBANK.NS,Kotak Mahindra Bank - Private Banking,5967,2001-07-02,2025-06-24,24.0,2223.6,100026.27,2710331,Success
NESTLEIND.NS,Nestle India - FMCG,5678,2002-08-12,2025-06-24,22.9,2365.8,460.37,404028,Success
TITAN.NS,Titan Company - Jewelry & Watches,6358,2000-01-03,2025-06-24,25.5,3526.0,50262.79,3825400,Success
HCLTECH.NS,HCL Technologies - IT Services,5679,2002-08-12,2025-06-24,22.9,1691.8,12332.85,4810481,Success
POWERGRID.NS,Power Grid Corporation - Power,4367,2007-10-05,2025-06-24,17.7,285.95,447.26,11951865,Success
NTPC.NS,NTPC Limited - Power Generation,5094,2004-11-05,2025-06-24,20.6,329.95,592.86,9558249,Success
BAJAJFINSV.NS,Bajaj Finserv - Financial Services,5674,2002-08-12,2025-06-24,22.9,2009.2,347.41,1764459,Success
TECHM.NS,Tech Mahindra - IT Services,4642,2006-08-28,2025-06-24,18.8,1677.1,1533.82,2565272,Success
JSWSTEEL.NS,JSW Steel - Steel,5485,2003-05-08,2025-06-24,22.1,1007.0,12610.13,7841490,Success
ONGC.NS,Oil & Natural Gas Corporation - Oil & Gas,6355,2000-01-03,2025-06-24,25.5,243.92,1521.59,10159473,Success
COALINDIA.NS,Coal India - Mining,3608,2010-11-04,2025-06-24,14.6,392.65,222.16,7257064,Success
ADANIENT.NS,Adani Enterprises - Conglomerate,5707,2002-07-01,2025-06-24,23.0,2505.6,-23993685.39,6586368,Success
TATASTEEL.NS,Tata Steel - Steel,6358,2000-01-03,2025-06-24,25.5,154.79,2150.9,68732965,Success
HINDALCO.NS,Hindalco Industries - Metals,6358,2000-01-03,2025-06-24,25.5,669.4,950.01,6905305,Success
INDUSINDBK.NS,IndusInd Bank - Private Banking,5706,2002-07-01,2025-06-24,23.0,831.95,6145.69,2893013,Success
GRASIM.NS,Grasim Industries - Diversified,5705,2002-07-01,2025-06-24,23.0,2780.9,5409.85,1071521,Success
BAJAJ-AUTO.NS,Bajaj Auto - Two Wheeler,5708,2002-07-01,2025-06-24,23.0,8377.0,10247.64,422916,Success
BRITANNIA.NS,Britannia Industries - FMCG,6358,2000-01-03,2025-06-24,25.5,5617.0,10298.52,234779,Success
UPL.NS,UPL Limited - Agrochemicals,5706,2002-07-01,2025-06-24,23.0,644.45,3079.85,2414624,Success
TATACONSUM.NS,Tata Consumer Products - FMCG,6355,2000-01-03,2025-06-24,25.5,1107.7,1876.81,2212910,Success
M&M.NS,Mahindra & Mahindra - Automotive,6356,2000-01-03,2025-06-24,25.5,3150.1,8079.03,3846202,Success
VEDL.NS,Vedanta Limited - Metals & Mining,6358,2000-01-03,2025-06-24,25.5,445.8,62782.76,9252368,Success
SBILIFE.NS,SBI Life Insurance - Insurance,1908,2017-10-03,2025-06-24,7.7,1843.0,164.94,1302816,Success
CIPLA.NS,Cipla - Pharmaceuticals,6357,2000-01-03,2025-06-24,25.5,1502.4,1430.39,1873098,Success
HDFCLIFE.NS,HDFC Life Insurance - Insurance,1876,2017-11-17,2025-06-24,7.6,779.7,131.57,3628989,Success
BPCL.NS,Bharat Petroleum - Oil Refining,6355,2000-01-03,2025-06-24,25.5,319.25,3218.77,9767744,Success
ADANIPORTS.NS,Adani Ports - Port Operations,4331,2007-11-27,2025-06-24,17.6,1389.5,700.03,4197399,Success
HEROMOTOCO.NS,Hero MotoCorp - Two Wheeler,5705,2002-07-01,2025-06-24,23.0,4292.5,2790.05,562438,Success
SHREECEM.NS,Shree Cement - Cement,5965,2001-07-02,2025-06-24,24.0,28505.0,104112.36,28267,Success
DIVISLAB.NS,Divi's Laboratories - Pharmaceuticals,5526,2003-03-12,2025-06-24,22.3,6565.5,89648.68,963129,Success
DRREDDY.NS,Dr. Reddy's Laboratories - Pharmaceuticals,6355,2000-01-03,2025-06-24,25.5,1337.3,1830.79,2547520,Success
EICHERMOT.NS,Eicher Motors - Automotive (Royal Enfield),6355,2000-01-03,2025-06-24,25.5,5629.0,183700.92,537460,Success
SBIN.NS,State Bank of India - Public Banking,6356,2000-01-03,2025-06-24,25.5,795.4,4232.7,22897317,Success
APOLLOHOSP.NS,Apollo Hospitals - Healthcare,5705,2002-07-01,2025-06-24,23.0,7006.0,12941.62,361969,Success
BAJFINANCE.NS,Bajaj Finance - NBFC,5705,2002-07-01,2025-06-24,23.0,916.5,173015.57,9625382,Success
LT.NS,Larsen & Toubro - Engineering & Construction,5708,2002-07-01,2025-06-24,23.0,3604.8,10172.7,3431618,Success
GODREJCP.NS,Godrej Consumer Products - FMCG,5708,2002-07-01,2025-06-24,23.0,1173.8,17511.26,715835,Success
PIDILITIND.NS,PID Industries - Adhesives,5705,2002-07-01,2025-06-24,23.0,3002.3,81944.73,300669,Success
MARICO.NS,Marico Limited - FMCG,6358,2000-01-03,2025-06-24,25.5,703.5,38086.65,1118666,Success
BOSCHLTD.NS,Bosch Limited - Auto Components,5707,2002-07-01,2025-06-24,23.0,31500.0,11645.82,17797,Success
BIOCON.NS,Biocon Limited - Biotechnology,5244,2004-04-07,2025-06-24,21.2,349.2,807.74,4057867,Success
DABUR.NS,Dabur India - FMCG & Healthcare,5705,2002-07-01,2025-06-24,23.0,475.1,6904.21,1946251,Success
SIEMENS.NS,Siemens Limited - Engineering,6358,2000-01-03,2025-06-24,25.5,3159.8,7108.82,432698,Success
HAVELLS.NS,Havells India - Electrical Equipment,5706,2002-07-01,2025-06-24,23.0,1573.3,122659.17,30122605,Success
LUPIN.NS,Lupin Limited - Pharmaceuticals,5916,2001-09-10,2025-06-24,23.8,1930.8,29447.52,1353994,Success
BANDHANBNK.NS,Bandhan Bank - Banking,1788,2018-03-27,2025-06-24,7.2,180.22,-61.25,8456401,Success
IDFCFIRSTB.NS,IDFC First Bank - Banking,2376,2015-11-06,2025-06-24,9.6,72.02,6.22,25216932,Success
TORNTPHARM.NS,Torrent Pharmaceuticals - Pharmaceuticals,5708,2002-07-01,2025-06-24,23.0,3180.9,36860.72,356225,Success
AUROPHARMA.NS,Aurobindo Pharma - Pharmaceuticals,6356,2000-01-03,2025-06-24,25.5,1104.2,1900.9,2285554,Success
HPCL.NS,Hindustan Petroleum - Oil Refining,0,N/A,N/A,0.0,0.0,0.0,0,Failed
UNIONBANK.NS,Union Bank of India - Public Banking,5646,2002-09-24,2025-06-24,22.7,147.09,1522.96,5886770,Success
PNB.NS,Punjab National Bank - Public Banking,5707,2002-07-01,2025-06-24,23.0,105.22,1513.98,21006491,Success
CADILAHC.NS,Cadila Healthcare - Pharmaceuticals,0,N/A,N/A,0.0,0.0,0.0,0,Failed
CANBK.NS,Canara Bank - Public Banking,5580,2002-12-23,2025-06-24,22.5,110.61,1240.58,23801376,Success
IOC.NS,Indian Oil Corporation - Oil Refining,6355,2000-01-03,2025-06-24,25.5,142.84,1048.28,10138220,Success
OIL.NS,Oil India Limited - Oil Exploration,3881,2009-09-30,2025-06-24,15.7,445.85,201.18,2237099,Success
PETRONET.NS,Petronet LNG - LNG Terminal,5254,2004-03-26,2025-06-24,21.2,299.2,6629.04,4084850,Success
GAIL.NS,GAIL India - Natural Gas,6355,2000-01-03,2025-06-24,25.5,185.49,2326.16,11710079,Success
BANKBARODA.NS,Bank of Baroda - Public Banking,5705,2002-07-01,2025-06-24,23.0,237.82,3118.22,12586416,Success
HINDZINC.NS,Hindustan Zinc - Zinc Mining,5678,2002-08-12,2025-06-24,22.9,442.9,65030.85,1170834,Success
